date,year,month,day,weekday,prize1,top3,top2,front3_1,front3_2,back3_1,back3_2,bottom2
1994-01-16,1994,1,16,อาทิตย์,,,,873,237,845,708,23
1994-02-01,1994,2,1,อังคาร,,,,173,746,268,396,05
1994-02-16,1994,2,16,พุธ,,,,943,520,753,486,76
1994-03-01,1994,3,1,อังคาร,,,,082,631,008,820,41
1994-03-16,1994,3,16,พุธ,,,,382,166,515,185,19
1994-04-01,1994,4,1,ศุกร์,,,,675,035,704,868,29
1994-04-16,1994,4,16,เสาร์,,,,785,982,151,594,21
1994-05-02,1994,5,2,จันทร์,,,,535,317,170,521,69
1994-05-16,1994,5,16,จันทร์,,,,093,544,535,746,29
1994-06-01,1994,6,1,พุธ,,,,474,564,989,164,17
1994-06-16,1994,6,16,พฤหัสบดี,,,,302,583,524,669,53
1994-07-01,1994,7,1,ศุกร์,,,,372,902,868,445,39
1994-07-16,1994,7,16,เสาร์,,,,424,686,628,622,74
1994-08-01,1994,8,1,จันทร์,,,,396,149,026,758,85
1994-08-16,1994,8,16,อังคาร,,,,303,724,897,677,28
1994-09-01,1994,9,1,พฤหัสบดี,,,,891,718,949,701,67
1994-09-16,1994,9,16,ศุกร์,,,,046,255,164,886,88
1994-10-01,1994,10,1,เสาร์,,,,623,251,229,243,23
1994-10-16,1994,10,16,อาทิตย์,,,,165,294,428,024,79
1994-11-01,1994,11,1,อังคาร,,,,110,365,096,840,76
1994-11-16,1994,11,16,พุธ,,,,504,902,225,816,82
1994-12-01,1994,12,1,พฤหัสบดี,,,,342,923,448,043,02
1994-12-16,1994,12,16,ศุกร์,,,,654,129,766,544,50
1994-12-30,1994,12,30,ศุกร์,,,,798,713,339,744,90
1995-01-16,1995,1,16,จันทร์,922388,388,88,186,667,253,002,40
1995-02-01,1995,2,1,พุธ,198162,162,62,195,087,805,574,48
1995-02-16,1995,2,16,พฤหัสบดี,869070,070,70,828,597,462,126,95
1995-03-01,1995,3,1,พุธ,411454,454,54,034,019,022,152,71
1995-03-16,1995,3,16,พฤหัสบดี,646847,847,47,225,044,091,220,67
1995-04-01,1995,4,1,เสาร์,427039,039,39,254,926,674,978,06
1995-04-16,1995,4,16,อาทิตย์,053581,581,81,560,968,681,376,99
1995-05-02,1995,5,2,อังคาร,504692,692,92,304,886,268,273,88
1995-05-17,1995,5,17,พุธ,220381,381,81,460,597,511,488,55
1995-06-01,1995,6,1,พฤหัสบดี,105615,615,15,374,735,168,688,17
1995-06-16,1995,6,16,ศุกร์,046698,698,98,678,785,507,393,82
1995-07-01,1995,7,1,เสาร์,939901,901,01,428,940,667,879,19
1995-07-16,1995,7,16,อาทิตย์,248122,122,22,571,085,303,758,96
1995-08-01,1995,8,1,อังคาร,464819,819,19,070,274,669,293,59
1995-08-16,1995,8,16,พุธ,265333,333,33,235,455,618,342,51
1995-09-01,1995,9,1,ศุกร์,620837,837,37,693,872,255,644,83
1995-09-16,1995,9,16,เสาร์,876454,454,54,558,297,582,802,51
1995-10-01,1995,10,1,อาทิตย์,317092,092,92,139,819,088,296,76
1995-10-16,1995,10,16,จันทร์,322154,154,54,924,192,716,233,86
1995-11-01,1995,11,1,พุธ,282069,069,69,962,564,194,393,07
1995-11-16,1995,11,16,พฤหัสบดี,239422,422,22,078,883,776,756,85
1995-12-01,1995,12,1,ศุกร์,714426,426,26,516,427,387,073,74
1995-12-16,1995,12,16,เสาร์,952808,808,08,732,540,639,064,68
1995-12-30,1995,12,30,เสาร์,327686,686,86,748,456,145,928,04
1996-01-16,1996,1,16,อังคาร,318302,302,02,882,444,661,971,21
1996-02-01,1996,2,1,พฤหัสบดี,256556,556,56,906,705,549,994,26
1996-02-16,1996,2,16,ศุกร์,681455,455,55,977,664,428,779,49
1996-03-01,1996,3,1,ศุกร์,304855,855,55,760,664,443,945,72
1996-03-16,1996,3,16,เสาร์,019128,128,28,673,796,694,526,27
1996-04-01,1996,4,1,จันทร์,660765,765,65,701,338,839,278,90
1996-04-16,1996,4,16,อังคาร,049584,584,84,435,222,155,052,77
1996-05-02,1996,5,2,พฤหัสบดี,247351,351,51,175,234,661,978,54
1996-05-17,1996,5,17,ศุกร์,978140,140,40,321,443,718,523,75
1996-06-01,1996,6,1,เสาร์,869656,656,56,422,126,961,584,81
1996-06-16,1996,6,16,อาทิตย์,318311,311,11,649,118,735,916,21
1996-07-01,1996,7,1,จันทร์,625379,379,79,666,298,094,543,76
1996-07-16,1996,7,16,อังคาร,332687,687,87,771,547,281,010,91
1996-08-01,1996,8,1,พฤหัสบดี,151091,091,91,646,650,833,669,61
1996-08-16,1996,8,16,ศุกร์,352768,768,68,389,932,609,875,19
1996-09-01,1996,9,1,อาทิตย์,470136,136,36,392,666,927,501,02
1996-09-16,1996,9,16,จันทร์,814368,368,68,889,818,976,400,59
1996-10-01,1996,10,1,อังคาร,947788,788,88,089,166,544,484,97
1996-10-16,1996,10,16,พุธ,198019,019,19,082,270,865,824,18
1996-11-01,1996,11,1,ศุกร์,512694,694,94,290,432,255,964,24
1996-11-16,1996,11,16,เสาร์,951088,088,88,168,349,580,577,21
1996-12-01,1996,12,1,อาทิตย์,179528,528,28,822,365,920,566,66
1996-12-16,1996,12,16,จันทร์,593856,856,56,381,755,608,438,44
1996-12-30,1996,12,30,จันทร์,879454,454,54,314,158,584,,26
1997-01-16,1997,1,16,พฤหัสบดี,151995,995,95,612,257,020,381,47
1997-02-01,1997,2,1,เสาร์,750792,792,92,402,771,703,,57
1997-02-16,1997,2,16,อาทิตย์,499884,884,84,716,247,533,315,94
1997-03-01,1997,3,1,เสาร์,976779,779,79,148,414,791,364,98
1997-03-16,1997,3,16,อาทิตย์,100474,474,74,444,822,705,214,36
1997-04-01,1997,4,1,อังคาร,617629,629,29,426,162,880,015,52
1997-04-16,1997,4,16,พุธ,551450,450,50,654,165,279,085,92
1997-05-02,1997,5,2,ศุกร์,388437,437,37,025,656,056,728,38
1997-05-16,1997,5,16,ศุกร์,088067,067,67,510,621,896,769,52
1997-06-01,1997,6,1,อาทิตย์,643997,997,97,507,918,784,060,24
1997-06-16,1997,6,16,จันทร์,537146,146,46,635,769,982,504,61
1997-07-01,1997,7,1,อังคาร,676573,573,73,909,620,412,092,11
1997-07-16,1997,7,16,พุธ,509691,691,91,982,623,750,944,67
1997-08-01,1997,8,1,ศุกร์,054272,272,72,797,145,414,440,31
1997-08-16,1997,8,16,เสาร์,156967,967,67,235,957,596,,30
1997-09-01,1997,9,1,จันทร์,083537,537,37,132,319,658,716,59
1997-09-16,1997,9,16,อังคาร,527514,514,14,251,335,687,935,98
